Gene	Expression	Species	Donor
Gene_I9IKS	17.9864580146781	Human	1
Gene_44ADU	19.4078449946339	Human	2
Gene_R6LQR	3.45901503465631	Human	3
Gene_JXYE2	5.10468582213038	Human	4
Gene_C6TAQ	6.81465941027728	Human	5
Gene_LLPSX	17.2113146097989	Human	6
Gene_8NWZH	9.84534443900676	Human	7
Gene_2YRVW	6.61596302915264	Human	8
Gene_X1U56	6.59752856466216	Human	9
Gene_GDK52	4.25485084048994	Human	10
Gene_NEUO3	2.93229363352437	Human	1
Gene_L4PZ3	5.23428822026725	Human	2
Gene_ON26X	4.56135298358294	Human	3
Gene_GY07M	10.5482498670757	Human	4
Gene_2SSR2	8.51030269952239	Human	5
Gene_MQDSR	11.5482096283399	Human	6
Gene_YPSDA	3.48616809704994	Human	7
Gene_ODPJD	10.7465167384048	Human	8
Gene_EJN1L	8.04310462518637	Human	9
Gene_YT8GS	8.32322301008363	Human	10
Gene_I9IKS	17.3232242935551	Human	1
Gene_44ADU	2.39338966638405	Human	2
Gene_R6LQR	13.0140541413315	Human	3
Gene_JXYE2	4.33415705395607	Human	4
Gene_C6TAQ	4.90979080265886	Human	5
Gene_LLPSX	15.5512834100245	Human	6
Gene_8NWZH	7.10456401307382	Human	7
Gene_2YRVW	18.6083114742314	Human	8
Gene_X1U56	9.70097713287031	Human	9
Gene_GDK52	10.362750933422	Human	10
Gene_NEUO3	7.39034773240499	Human	1
Gene_L4PZ3	6.70312298071038	Human	2
Gene_ON26X	9.0844345933724	Human	3
Gene_GY07M	51.6291008293657	Human	4
Gene_2SSR2	5.29977322545685	Human	5
Gene_MQDSR	8.92674067281585	Human	6
Gene_YPSDA	5.36277656972231	Human	7
Gene_ODPJD	2.94670003112624	Human	8
Gene_EJN1L	8.87011310641736	Human	9
Gene_YT8GS	10.1890338695802	Human	10
Gene_I9IKS	9.50187518364809	Human	1
Gene_44ADU	17.9149345554517	Human	2
Gene_R6LQR	5.41158438085575	Human	3
Gene_JXYE2	11.7797473491135	Human	4
Gene_C6TAQ	8.16068418456524	Human	5
Gene_LLPSX	10.5288768016133	Human	6
Gene_8NWZH	6.87225334413557	Human	7
Gene_2YRVW	4.8407518497324	Human	8
Gene_X1U56	5.38493296192528	Human	9
Gene_GDK52	9.41221417039028	Human	10
Gene_NEUO3	14.6694267215538	Human	1
Gene_L4PZ3	4.72555795564858	Human	2
Gene_ON26X	8.7115467923947	Human	3
Gene_GY07M	9.99339252011553	Human	4
Gene_2SSR2	6.22963414429134	Human	5
Gene_MQDSR	17.0168697189585	Human	6
Gene_YPSDA	6.6317935687345	Human	7
Gene_ODPJD	8.25272744102215	Human	8
Gene_EJN1L	6.63516930873354	Human	9
Gene_YT8GS	9.61715106003807	Human	10
Gene_I9IKS	10.0181988528343	Human	1
Gene_44ADU	4.42440439277277	Human	2
Gene_R6LQR	12.9350742151083	Human	3
Gene_JXYE2	7.12927270385124	Human	4
Gene_C6TAQ	12.7772310262137	Human	5
Gene_LLPSX	11.9986569848188	Human	6
Gene_8NWZH	9.20504468783453	Human	7
Gene_2YRVW	6.96995423925872	Human	8
Gene_X1U56	5.67976200700116	Human	9
